Timestamp,Temperature (C),Humidity (%),Sound,Light
4082,19.34,39.59,0.00,87.00
7082,19.64,39.35,26101.66,190.00
10082,19.63,39.32,35022.62,188.00
13082,19.65,38.84,21784.62,188.00
16082,19.64,38.33,28984.04,210.00
19082,19.63,38.21,18745.17,212.00
22082,19.63,38.08,39618.09,213.00
25082,19.61,38.03,24981.82,213.00
28082,19.60,37.94,17276.25,213.00
31082,19.59,37.88,17525.83,213.00
34082,19.57,37.84,24336.74,213.00
37082,19.55,37.83,17418.69,214.00
40082,19.53,37.84,16748.08,214.00
43082,19.53,37.83,24751.88,214.00
46082,19.51,37.79,22992.82,214.00
49082,19.50,37.75,22383.50,213.00
52082,19.48,37.74,26236.76,213.00
55082,19.46,37.76,36263.51,213.00
58082,19.44,37.76,25298.97,212.00
61082,19.43,37.77,22922.45,212.00
64082,19.41,37.80,29230.93,212.00
67082,19.39,37.81,26723.76,212.00
70082,19.39,37.84,25140.60,210.00
73082,19.36,37.86,26922.22,210.00
76082,19.35,37.88,24014.11,208.00
79082,19.34,37.87,29518.10,209.00
82082,19.33,37.87,28545.18,208.00
85082,19.32,37.88,37374.19,206.00
88082,19.32,37.93,49966.26,206.00
91082,19.31,37.98,45152.46,205.00
94082,19.30,38.00,27245.05,205.00
97082,19.31,38.16,34842.64,207.00
100082,19.31,38.18,33450.15,203.00
103082,19.31,38.10,29598.14,205.00
106082,19.31,38.02,46994.57,205.00
109082,19.31,38.01,34495.02,204.00
112082,19.30,38.00,38919.84,200.00
115082,19.29,37.99,41212.27,204.00
118082,19.29,37.97,41536.12,203.00
121082,19.28,37.99,31790.89,202.00
124082,19.26,38.00,27067.99,202.00
127082,19.26,38.01,31159.07,182.00
130082,19.26,38.06,26138.39,201.00
133082,19.26,38.10,29213.96,201.00
136082,19.26,38.06,34229.25,201.00
139082,19.26,38.07,23073.53,184.00
142082,19.27,38.09,25220.11,201.00
145082,19.27,38.09,31256.94,199.00
148082,19.28,38.11,22378.44,199.00
151082,19.28,38.07,31647.98,200.00
154082,19.29,38.00,24604.33,199.00
157082,19.29,37.96,48608.98,197.00
160082,19.28,37.93,41591.10,198.00
163082,19.28,37.91,27224.86,197.00
166082,19.28,37.92,30692.82,196.00
169082,19.27,37.94,42408.54,195.00
172082,19.27,37.95,45344.23,211.00
175082,19.27,37.92,32021.18,194.00
178082,19.25,37.92,32239.39,194.00
181082,19.24,37.93,44656.77,193.00
184082,19.23,37.95,18700.03,196.00
187082,19.22,37.96,14345.27,190.00
190082,19.22,37.96,28006.07,191.00
193082,19.20,37.95,24498.54,192.00
196082,19.19,38.00,13143.63,191.00
199082,19.19,38.03,27897.46,191.00
202082,19.18,38.04,34588.22,190.00
205082,19.17,38.04,19575.34,190.00
208082,19.17,38.05,21413.92,190.00
211082,19.16,38.06,18457.13,189.00
214082,19.15,38.07,21308.06,189.00
