Timestamp,Temperature (C),Humidity (%),Sound,Light
4124,19.87,35.33,0.00,23.00
7124,20.14,35.06,25080.10,24.00
10124,20.14,34.88,13752.55,7.00
13124,20.14,34.84,11557.48,19.00
16124,20.13,35.39,12088.04,2.00
19124,20.13,35.75,10372.50,7.00
22124,20.11,35.19,11019.70,23.00
25124,20.08,35.09,9270.64,29.00
28124,20.05,35.07,8919.14,22.00
31124,20.01,35.11,10453.21,25.00
34124,19.97,35.17,9923.61,25.00
37124,19.93,35.22,11651.73,26.00
40124,19.90,35.21,10716.80,20.00
43124,19.86,35.25,13745.67,26.00
46124,19.82,35.31,11487.83,26.00
49124,19.79,35.35,10557.00,26.00
52124,19.75,35.49,12924.51,22.00
55124,19.72,35.58,11816.17,27.00
58124,19.69,35.71,12156.88,22.00
61124,19.64,35.78,11915.29,22.00
64124,19.61,35.82,13660.96,29.00
67124,19.57,35.84,14467.59,27.00
70124,19.53,35.89,11715.43,22.00
73124,19.50,35.92,12273.37,20.00
76124,19.47,35.97,11135.81,24.00
79124,19.44,36.00,10584.53,23.00
82124,19.41,36.04,10208.20,26.00
85124,19.38,36.08,10885.02,32.00
88124,19.34,36.12,12316.68,24.00
91124,19.31,36.21,10914.73,30.00
94124,19.28,36.27,10520.89,26.00
97124,19.24,36.32,11389.14,26.00
100124,19.21,36.38,9671.15,26.00
103124,19.19,36.42,10571.20,30.00
106124,19.17,36.49,9412.03,32.00
109124,19.14,36.51,11861.58,26.00
112124,19.13,36.45,10019.79,27.00
115124,19.10,36.53,11753.26,26.00
118124,19.08,36.54,13729.75,19.00
121124,19.06,36.51,13791.71,26.00
124124,19.04,36.55,11637.21,23.00
127124,19.02,36.62,10777.21,22.00
130124,19.00,36.63,11072.29,21.00
133124,18.98,36.76,13545.09,27.00
136124,18.96,36.85,11420.14,21.00
139124,18.93,36.89,10341.12,32.00
142124,18.91,36.93,12410.46,25.00
145124,18.90,36.94,9087.22,25.00
148124,18.88,36.95,9480.02,20.00
151124,18.87,36.97,12853.50,19.00
154124,18.84,37.04,9726.54,21.00
157124,18.82,37.08,12789.17,22.00
160124,18.80,37.15,16109.60,50.00
163124,18.79,37.21,10306.67,26.00
166124,18.77,37.24,12262.17,24.00
169124,18.75,37.26,17381.35,23.00
172124,18.73,37.31,12308.40,26.00
175124,18.71,37.33,12544.56,25.00
178124,18.70,37.38,21584.08,18.00
181124,18.69,37.31,41179.88,26.00
184124,18.67,37.40,16534.15,28.00
187124,18.66,37.44,15175.49,23.00
190124,18.65,37.35,17847.45,23.00
193124,18.63,37.46,29794.75,21.00
196124,18.62,37.51,19028.75,21.00
199124,18.61,37.50,13476.92,20.00
