Timestamp,Temperature (C),Humidity (%),Sound,Light
4085,22.19,29.26,0.00,614.00
7085,22.45,28.95,43645.01,642.00
10085,22.45,28.85,24461.71,644.00
13085,22.45,28.82,32673.80,646.00
16085,22.45,28.86,43991.20,646.00
19085,22.44,28.86,28175.66,646.00
22085,22.44,28.84,24858.26,645.00
25085,22.43,28.87,30238.21,645.00
28085,22.42,28.80,36821.81,642.00
31085,22.42,28.79,39637.44,640.00
34085,22.41,28.80,41119.76,637.00
37085,22.40,28.83,27804.77,634.00
40085,22.40,28.84,20296.91,632.00
43085,22.39,28.84,32798.80,628.00
46085,22.38,28.81,19667.36,625.00
49085,22.37,28.79,28117.90,622.00
52085,22.36,28.73,35938.63,618.00
55085,22.36,28.66,36310.87,616.00
58085,22.35,28.65,28975.53,613.00
61085,22.34,28.61,31984.78,610.00
64085,22.33,28.55,29340.36,607.00
67085,22.33,28.53,34191.87,605.00
70085,22.32,28.53,24497.00,602.00
73085,22.31,28.52,28475.21,600.00
76085,22.30,28.59,36354.95,598.00
79085,22.28,28.61,21750.03,596.00
82085,22.28,28.63,28981.77,594.00
85085,22.27,28.57,24744.70,594.00
88085,22.26,28.53,18230.58,594.00
91085,22.25,28.52,17541.56,593.00
94085,22.24,28.53,17581.24,593.00
97085,22.23,28.53,26848.36,593.00
100085,22.23,28.53,33866.25,594.00
103085,22.22,28.53,48918.41,592.00
106085,22.20,28.54,32557.75,590.00
109085,22.20,28.56,28528.29,591.00
112085,22.19,28.54,27769.92,590.00
115085,22.18,28.55,23573.56,589.00
118085,22.17,28.54,29480.46,588.00
121085,22.16,28.51,37744.61,587.00
124085,22.15,28.50,47930.71,584.00
127085,22.14,28.46,32664.03,584.00
130085,22.13,28.47,49920.95,583.00
133085,22.12,28.49,43456.03,581.00
136085,22.11,28.51,31242.12,580.00
139085,22.10,28.52,43830.36,579.00
142085,22.09,28.50,43968.99,578.00
145085,22.08,28.50,47631.95,576.00
148085,22.07,28.52,38489.80,577.00
151085,22.06,28.53,48920.80,575.00
154085,22.05,28.54,48080.25,576.00
157085,22.05,28.57,49999.46,575.00
