Timestamp,Temperature (C),Humidity (%),Sound,Light
3860,21.55,30.08,0.00,272.00
6860,21.55,30.13,6807.86,276.00
9860,21.54,30.19,18703.13,304.00
12860,23.24,100.00,13093.22,286.00
15860,23.24,100.00,9082.38,282.00
18860,23.24,100.00,5765.03,281.00
21860,23.24,100.00,49997.04,284.00
24860,23.24,100.00,49861.37,290.00
27860,23.24,100.00,49895.83,292.00
30860,23.24,100.00,47712.02,298.00
33860,23.24,100.00,46712.84,303.00
36860,23.24,100.00,48538.89,312.00
39860,23.24,100.00,49980.32,320.00
42860,23.24,100.00,47874.24,326.00
45860,23.24,100.00,49561.50,333.00
48860,23.24,100.00,49758.20,338.00
51860,23.24,100.00,49850.31,345.00
54860,23.24,100.00,18088.18,350.00
57860,23.24,100.00,6986.16,384.00
60860,23.24,100.00,6314.07,363.00
63860,23.24,100.00,6253.04,368.00
66860,23.24,100.00,6081.72,374.00
69860,23.24,100.00,6546.15,382.00
72860,23.24,100.00,5809.10,389.00
75860,23.24,100.00,6146.90,396.00
78860,23.24,100.00,5543.90,405.00
81860,23.24,100.00,34757.25,414.00
84860,23.24,100.00,7647.36,424.00
87860,23.24,100.00,13389.94,434.00
90860,23.24,100.00,5263.85,445.00
93860,23.24,100.00,4775.30,459.00
96860,23.24,100.00,5415.66,469.00
99860,23.24,100.00,5475.62,482.00
102860,23.24,100.00,5191.55,494.00
105860,23.24,100.00,5860.37,507.00
108860,23.24,100.00,5428.30,525.00
111860,23.24,100.00,5610.20,532.00
114860,23.24,100.00,6649.81,544.00
117860,23.24,100.00,8114.17,557.00
120860,23.24,100.00,7835.09,568.00
123860,23.24,100.00,6593.74,581.00
126860,23.24,100.00,5917.53,592.00
129860,23.24,100.00,5683.24,603.00
132860,23.24,100.00,6848.74,612.00
135860,23.24,100.00,6286.16,621.00
138860,23.24,100.00,5778.48,625.00
141860,23.24,100.00,5533.27,630.00
144860,23.24,100.00,4788.80,632.00
147860,23.24,100.00,12235.77,633.00
150860,23.24,100.00,6253.95,635.00
153860,23.24,100.00,6985.56,640.00
156860,23.24,100.00,5963.68,635.00
159860,23.24,100.00,4782.00,634.00
162860,23.24,100.00,5282.43,630.00
165860,23.24,100.00,6653.91,627.00
168860,23.24,100.00,5551.38,623.00
171860,23.24,100.00,5889.82,619.00
174860,23.24,100.00,6410.34,614.00
177860,23.24,100.00,5044.38,610.00
180860,23.24,100.00,6578.86,605.00
183860,23.24,100.00,6664.99,601.00
186860,23.24,100.00,6853.01,598.00
189860,23.24,100.00,5109.59,594.00
192860,23.24,100.00,5098.65,589.00
195860,23.24,100.00,6429.40,584.00
198860,23.24,100.00,5649.49,577.00
201860,23.24,100.00,5332.37,571.00
204860,23.24,100.00,5432.72,562.00
207860,23.24,100.00,6587.26,558.00
210860,23.24,100.00,5490.19,551.00
213860,23.24,100.00,7678.59,545.00
216860,23.24,100.00,5926.97,540.00
219860,23.24,100.00,7080.63,535.00
222860,23.24,100.00,5607.72,529.00
225860,23.24,100.00,6379.96,527.00
228860,23.24,100.00,5982.31,521.00
