Timestamp,Temperature (C),Humidity (%),Sound,Light
3825,21.52,31.52,0.00,160.00
6825,21.53,31.47,8843.25,298.00
9825,21.53,31.38,5747.24,300.00
12825,21.53,31.33,5594.31,301.00
15825,21.52,31.29,4539.29,305.00
18825,21.53,31.27,4943.20,305.00
21825,21.52,31.28,4456.38,310.00
24825,21.52,31.27,5196.27,311.00
27825,21.52,31.22,5422.29,316.00
30825,21.52,31.05,49965.04,318.00
33825,21.52,31.02,49996.62,321.00
36825,21.51,31.00,49902.20,328.00
39825,21.51,31.02,47363.70,330.00
42825,21.51,31.35,48431.86,349.00
45825,21.51,31.37,49910.11,345.00
48825,21.51,31.35,49997.90,353.00
51825,21.50,31.43,45123.30,358.00
54825,21.50,31.46,49764.45,366.00
57825,21.50,31.61,46242.46,377.00
60825,21.50,31.82,49970.41,383.00
63825,21.50,31.75,16378.52,392.00
66825,21.50,31.58,6840.38,397.00
69825,21.50,31.54,5792.51,416.00
72825,21.49,31.49,6093.63,423.00
75825,21.49,31.45,5490.23,431.00
78825,21.48,31.40,6096.91,441.00
81825,21.48,31.31,5199.24,450.00
84825,21.47,31.25,6043.48,456.00
87825,21.46,31.22,5271.71,464.00
90825,21.47,31.17,31262.67,471.00
93825,21.46,31.12,7111.04,480.00
96825,21.46,31.08,12711.52,485.00
99825,21.46,31.05,5194.17,500.00
102825,21.46,31.03,4743.47,511.00
105825,21.44,30.99,4780.44,524.00
108825,21.44,30.97,5250.24,539.00
111825,21.44,30.93,5175.83,556.00
114825,21.43,30.92,5524.10,574.00
117825,21.43,30.92,4964.18,593.00
120825,21.43,30.88,5230.93,612.00
123825,21.43,30.87,6620.09,630.00
126825,21.42,30.84,7401.82,646.00
129825,21.43,30.82,7079.32,660.00
132825,21.42,30.81,5858.29,673.00
135825,21.42,30.77,5695.98,687.00
138825,21.42,30.74,5540.59,698.00
141825,21.41,30.72,6439.68,695.00
144825,21.42,30.70,6076.90,712.00
147825,21.41,30.67,5735.65,706.00
150825,21.41,30.65,5033.85,721.00
153825,21.41,30.62,4969.19,725.00
156825,21.41,30.60,13546.93,728.00
159825,21.40,30.58,5875.59,728.00
162825,21.41,30.57,6456.28,728.00
165825,21.40,30.57,5457.45,715.00
168825,21.39,30.56,4724.42,726.00
171825,21.39,30.55,5182.00,711.00
174825,21.39,30.53,6153.14,719.00
177825,21.39,30.53,5392.84,715.00
180825,21.38,30.52,5732.21,711.00
183825,21.39,30.51,6001.27,706.00
186825,21.38,30.48,5065.74,698.00
189825,21.38,30.47,6048.98,691.00
192825,21.37,30.47,6212.25,685.00
195825,21.37,30.46,6786.77,677.00
198825,21.36,30.45,5099.25,670.00
201825,21.37,30.45,4899.63,659.00
204825,21.35,30.45,6326.75,658.00
207825,21.35,30.43,5261.55,652.00
210825,21.35,30.43,4989.62,647.00
213825,21.35,30.43,5191.10,641.00
216825,21.34,30.42,6287.95,635.00
219825,21.34,30.42,5310.96,628.00
222825,21.34,30.41,6991.40,621.00
225825,21.33,30.41,5683.52,614.00
228825,21.32,30.41,6870.10,607.00
231825,21.33,30.41,5420.02,599.00
234825,21.32,30.39,6262.43,594.00
237825,21.32,30.39,5736.45,597.00
240825,21.31,30.39,6096.08,584.00
243825,21.31,30.39,6155.11,579.00
246825,21.30,30.39,6231.26,574.00
249825,21.30,30.39,5733.82,571.00
252825,21.29,30.38,5646.18,567.00
255825,21.29,30.37,5232.74,565.00
258825,21.28,30.38,4588.29,564.00
261825,21.28,30.37,4806.41,562.00
264825,21.28,30.38,5215.84,563.00
267825,21.27,30.38,5766.53,558.00
270825,21.27,30.38,5314.34,556.00
273825,21.26,30.39,5095.73,545.00
276825,21.26,30.38,5102.86,554.00
279825,21.25,30.36,6597.45,554.00
282825,21.25,30.36,7093.59,552.00
285825,21.24,30.36,5692.49,551.00
288825,21.24,30.36,5585.13,550.00
291825,21.23,30.36,5643.44,549.00
294825,21.23,30.36,5535.19,550.00
297825,21.22,30.36,5989.38,546.00
300825,21.22,30.36,6134.75,553.00
303825,21.22,30.37,5965.07,555.00
306825,21.21,30.37,5344.46,558.00
309825,21.20,30.37,5067.80,556.00
312825,21.21,30.37,4749.98,564.00
315825,21.20,30.37,4630.65,567.00
318825,21.19,30.38,4120.90,567.00
321825,21.19,30.38,4703.50,572.00
324825,21.19,30.38,5768.05,575.00
327825,21.18,30.38,5165.07,577.00
330825,21.18,30.38,5246.95,593.00
333825,21.18,30.40,5166.99,585.00
336825,21.17,30.40,5340.65,591.00
339825,21.17,30.40,6360.05,595.00
342825,21.16,30.40,4819.15,598.00
345825,21.17,30.40,4718.21,597.00
348825,21.16,30.40,4874.98,596.00
