Timestamp,Temperature (C),Humidity (%),Sound,Light
3825,21.91,37.33,0.00,114.00
6825,21.92,37.30,15236.48,79.00
9825,21.93,37.28,12000.88,78.00
12825,21.92,37.28,9910.40,101.00
15825,21.93,37.29,11530.14,140.00
18825,21.93,37.28,9896.64,158.00
21825,21.92,37.27,9710.74,159.00
24825,21.92,37.23,16787.40,159.00
27825,21.92,37.19,9941.26,159.00
30825,21.92,37.16,11331.03,159.00
33825,21.92,37.11,10764.90,160.00
36825,21.92,37.08,10848.64,161.00
39825,21.91,37.02,11744.28,161.00
42825,21.91,37.01,10604.57,160.00
45825,21.90,37.03,10822.00,162.00
48825,21.91,37.04,9523.04,163.00
51825,21.91,37.04,12670.96,164.00
54825,21.90,36.96,11655.46,163.00
57825,21.90,36.91,9721.87,163.00
60825,21.89,36.92,10584.92,166.00
63825,21.89,36.94,10926.59,163.00
66825,21.88,36.97,11983.46,164.00
69825,21.88,36.97,12180.62,163.00
72825,21.86,36.95,11969.49,162.00
75825,21.86,36.95,9423.09,164.00
78825,21.86,36.93,15452.38,165.00
81825,21.86,36.93,12922.23,164.00
84825,21.85,36.92,12057.66,158.00
87825,21.85,36.92,11128.50,166.00
90825,21.84,36.90,9688.12,167.00
93825,21.83,36.89,15213.00,164.00
96825,21.83,36.90,11290.50,169.00
99825,21.83,36.92,10916.79,167.00
102825,21.82,36.91,14713.74,165.00
105825,21.83,36.93,14327.10,167.00
108825,21.82,36.93,23041.58,165.00
111825,21.82,36.90,29909.00,166.00
114825,21.82,36.91,11841.09,165.00
117825,21.81,36.90,12224.47,167.00
120825,21.80,36.89,13370.45,168.00
123825,21.81,36.88,12321.00,167.00
126825,21.81,36.86,14213.67,167.00
129825,21.80,36.86,32204.54,167.00
132825,21.80,36.85,20202.79,169.00
135825,21.80,36.83,11364.45,168.00
138825,21.80,36.83,11326.12,170.00
141825,21.80,36.83,18335.53,167.00
144825,21.79,36.84,23739.57,169.00
147825,21.79,36.85,10510.41,171.00
150825,21.79,36.85,18148.05,170.00
