Timestamp,Temperature (C),Humidity (%),Sound,Light
8281649,21.83,32.73,0.00,135.00
8284649,22.11,32.83,49550.25,149.00
8287649,22.12,32.72,16467.10,147.00
8290649,22.13,32.68,17562.71,147.00
8293649,22.13,32.63,15135.57,147.00
8296649,22.13,32.57,19719.13,147.00
8299649,22.12,32.56,28863.69,146.00
8302649,22.13,32.57,19702.04,148.00
8305649,22.13,32.56,30037.30,148.00
8308649,22.12,32.27,28137.93,148.00
8311649,22.12,32.22,20323.75,153.00
8314649,22.11,32.04,26033.43,148.00
8317649,22.10,32.05,17128.43,147.00
8320649,22.09,31.99,19213.81,148.00
8323649,22.09,32.10,27026.27,147.00
8326649,22.09,31.99,18389.94,146.00
8329649,22.09,32.06,22445.68,147.00
8332649,22.08,32.05,18407.25,146.00
8335649,22.08,31.97,22378.25,147.00
8338649,22.08,31.86,28922.20,145.00
8341649,22.07,31.91,27503.83,146.00
8344649,22.06,31.92,19098.26,146.00
8347649,22.06,32.00,23354.03,146.00
8350649,22.06,32.06,24376.29,144.00
8353649,22.05,32.10,24174.55,146.00
8356649,22.06,32.03,21015.66,145.00
8359649,22.05,32.03,24572.74,146.00
8362649,22.05,31.86,22178.49,145.00
8365649,22.05,31.97,31975.32,149.00
8368649,22.04,32.02,31093.51,148.00
8371649,22.05,32.06,21080.41,146.00
8374649,22.04,32.09,21044.61,147.00
8377649,22.04,32.12,26255.48,146.00
8380649,22.04,32.11,30040.46,146.00
8383649,22.04,32.09,19261.31,146.00
8386649,22.05,32.09,15526.10,147.00
8389649,22.05,32.07,24688.77,146.00
8392649,22.04,32.01,18291.13,147.00
8395649,22.04,31.88,22374.14,148.00
8398649,22.04,31.90,21093.95,149.00
8401649,22.04,31.95,26896.92,148.00
8404649,22.03,31.93,28203.55,148.00
8407649,22.03,31.83,38986.56,147.00
8410649,22.03,31.90,33515.38,147.00
8413649,22.03,31.96,28770.24,149.00
8416649,22.03,31.99,20461.40,144.00
8419649,22.03,32.04,38966.56,146.00
8422649,22.03,32.08,21381.15,145.00
8425649,22.03,32.09,21531.56,142.00
8428649,22.04,32.08,18011.64,144.00
8431649,22.03,32.08,18919.84,142.00
8434649,22.04,32.07,15224.18,147.00
8437649,22.03,32.06,14958.44,141.00
8440649,22.03,31.96,12994.50,143.00
8443649,22.03,31.95,12378.75,146.00
8446649,22.03,31.85,10422.88,143.00
8449649,22.03,31.88,13955.10,143.00
8452649,22.02,31.88,12757.91,142.00
8455649,22.02,31.90,15467.35,143.00
8458649,22.02,31.81,14845.50,144.00
8461649,22.02,31.72,16440.86,143.00
8464649,22.01,31.70,12296.68,137.00
8467649,22.00,31.78,10682.59,141.00
8470649,22.01,31.79,12984.93,142.00
8473649,22.00,31.81,13439.00,142.00
8476649,22.01,31.86,16326.70,141.00
8479649,21.99,31.88,17985.09,141.00
8482649,21.99,31.89,14023.79,143.00
8485649,21.99,31.89,18872.88,141.00
8488649,21.99,31.87,12169.96,140.00
8491649,21.98,31.87,10232.21,141.00
8494649,21.98,31.88,21450.72,141.00
8497649,21.98,31.89,18580.47,140.00
8500649,21.97,31.82,24622.97,140.00
