"Tidsmerke","Hvor konsentrert var du i løpet av timen?
(ikke nødvendigvis på skolearbeidet)","Hvor mye skolearbeid fikk du gjort i løpet av timen?"
"2026/03/20 11:28:42 a.m. CET","4","4"
"2026/03/20 11:28:49 a.m. CET","4","4"
"2026/03/20 11:28:49 a.m. CET","2","2"
"2026/03/20 11:28:51 a.m. CET","2","1"
"2026/03/20 11:29:06 a.m. CET","3","3"
"2026/03/20 11:29:10 a.m. CET","4","1"
"2026/03/20 11:29:20 a.m. CET","2","2"
"2026/03/20 11:29:35 a.m. CET","4","3"
"2026/03/20 11:30:13 a.m. CET","4","4"
"2026/03/20 11:30:14 a.m. CET","2","5"
"2026/03/20 11:31:04 a.m. CET","5","4"
"2026/03/20 11:33:15 a.m. CET","4","4"
"2026/03/20 11:33:18 a.m. CET","3","3"
"2026/03/20 11:33:20 a.m. CET","4","3"
"2026/03/20 11:33:50 a.m. CET","3","2"
"2026/03/20 11:38:13 a.m. CET","4","3"
