Timestamp,Temperature (C),Humidity (%),Sound,Light
3867,22.71,31.76,0.00,146.00
6867,22.71,31.75,12990.28,148.00
9867,22.69,31.74,18031.08,148.00
12867,22.68,31.76,15405.20,152.00
15867,22.67,31.78,15629.21,148.00
18867,22.66,31.77,12978.34,150.00
21867,22.64,31.77,13226.62,151.00
24867,22.62,31.78,12612.78,151.00
27867,22.60,31.77,15760.98,152.00
30867,22.58,31.72,13603.45,151.00
33867,22.55,31.69,40464.24,152.00
36867,22.53,31.74,16092.59,156.00
39867,22.52,31.79,16474.33,153.00
42867,22.50,31.80,14552.58,153.00
45867,22.49,31.82,14507.87,153.00
48867,22.47,31.87,15993.91,153.00
51867,22.46,31.88,15204.07,153.00
54867,22.45,31.85,16102.40,152.00
57867,22.43,31.80,16859.94,154.00
60867,22.42,31.81,14194.31,160.00
63867,22.40,31.80,14928.77,160.00
66867,22.39,31.82,14443.45,160.00
69867,22.38,31.85,19288.05,160.00
72867,22.36,31.85,14073.19,160.00
75867,22.35,31.90,18561.65,160.00
78867,22.34,31.91,18827.95,160.00
81867,22.33,31.92,17429.60,162.00
84867,22.32,31.92,18574.78,162.00
87867,22.31,31.93,14649.48,162.00
90867,22.30,31.95,16953.29,164.00
93867,22.29,31.98,14782.41,164.00
96867,22.27,31.99,18506.05,164.00
99867,22.26,32.00,22625.43,166.00
102867,22.25,32.02,15783.77,166.00
105867,22.24,32.03,12927.07,160.00
108867,22.23,32.06,11981.17,162.00
111867,22.21,32.08,19962.81,163.00
114867,22.20,32.09,16097.06,165.00
117867,22.19,32.10,17807.54,167.00
120867,22.18,32.13,16617.40,167.00
123867,22.17,32.15,14377.83,168.00
126867,22.15,32.16,19167.51,172.00
129867,22.14,32.17,42140.26,169.00
132867,22.13,32.20,17927.36,170.00
135867,22.12,32.18,17532.23,174.00
138867,22.11,32.21,17735.54,171.00
141867,22.10,32.23,13531.67,172.00
144867,22.08,32.23,13794.03,174.00
147867,22.08,32.24,14928.48,174.00
150867,22.07,32.24,11775.06,174.00
153867,22.06,32.24,12890.84,174.00
156867,22.06,32.26,16486.18,176.00
159867,22.05,32.28,17468.76,178.00
162867,22.04,32.29,28641.25,177.00
165867,22.03,32.31,21961.94,177.00
168867,22.02,32.31,20342.36,178.00
171867,22.02,32.32,10983.72,177.00
174867,22.00,32.33,17770.78,178.00
177867,21.99,32.36,14168.35,178.00
180867,21.99,32.37,13445.02,180.00
183867,21.98,32.38,13367.93,182.00
186867,21.97,32.38,10875.80,182.00
189867,21.96,32.39,13388.82,189.00
192867,21.95,32.40,17383.12,184.00
195867,21.94,32.40,11308.27,185.00
198867,21.93,32.41,14321.70,187.00
201867,21.92,32.42,16017.50,187.00
204867,21.91,32.45,14328.20,190.00
207867,21.91,32.45,28840.56,191.00
210867,21.90,32.46,16017.76,192.00
213867,21.89,32.47,18814.18,193.00
216867,21.89,32.47,16055.39,196.00
219867,21.88,32.48,24530.30,197.00
222867,21.87,32.50,22807.91,198.00
225867,21.87,32.51,20330.62,202.00
228867,21.86,32.49,19747.32,202.00
231867,21.85,32.51,33875.07,204.00
234867,21.85,32.50,29929.14,205.00
237867,21.85,32.50,27351.67,207.00
240867,21.84,32.54,21036.37,208.00
243867,21.84,32.55,18009.13,211.00
246867,21.83,32.55,30888.84,212.00
249867,21.82,32.56,32138.15,212.00
252867,21.82,32.58,21966.85,215.00
255867,21.82,32.58,17280.42,216.00
258867,21.81,32.58,25806.09,218.00
261867,21.80,32.59,23788.61,219.00
264867,21.80,32.59,11511.71,220.00
267867,21.79,32.61,15997.22,222.00
270867,21.79,32.62,15773.38,230.00
273867,21.78,32.68,28005.22,225.00
276867,21.78,32.76,14654.65,232.00
279867,21.77,32.77,16698.16,227.00
282867,21.76,32.80,19744.04,229.00
285867,21.75,32.80,19624.73,229.00
288867,21.75,32.80,15451.99,229.00
