"Tidsmerke","Hvor konsentrert var du i løpet av timen?
(ikke nødvendigvis på skolearbeidet)","Hvor mye skolearbeid fikk du gjort i løpet av timen?"
"2026/04/07 3:47:01 p.m. EET","3","3"
"2026/04/07 3:47:14 p.m. EET","3","4"
"2026/04/07 3:47:23 p.m. EET","4","2"
"2026/04/07 3:47:30 p.m. EET","4","4"
"2026/04/07 3:47:39 p.m. EET","4","4"
"2026/04/07 3:47:42 p.m. EET","4","4"
"2026/04/07 3:47:45 p.m. EET","4","3"
"2026/04/07 3:48:01 p.m. EET","3","2"
"2026/04/07 3:48:03 p.m. EET","3","1"
"2026/04/07 3:48:07 p.m. EET","4","3"
"2026/04/07 3:48:14 p.m. EET","4","3"
"2026/04/07 3:48:40 p.m. EET","4","3"
