Timestamp,Temperature (C),Humidity (%),Sound,Light
3888,21.14,27.40,0.00,194.00
6888,21.42,27.21,49040.15,210.00
9888,21.43,27.06,49639.61,221.00
12888,21.44,26.89,48520.79,224.00
15888,21.44,26.76,48742.27,228.00
18888,21.45,26.65,36530.28,223.00
21888,21.46,26.55,27437.68,222.00
24888,21.46,26.47,22521.21,222.00
27888,21.46,26.39,21615.57,223.00
30888,21.46,26.33,25258.73,223.00
33888,21.46,26.29,33844.00,222.00
36888,21.46,26.24,12870.37,233.00
39888,21.47,26.19,12686.33,233.00
42888,21.47,26.15,12308.53,222.00
45888,21.47,26.10,16477.16,221.00
48888,21.47,26.08,24119.52,221.00
51888,21.47,26.07,32724.44,223.00
54888,21.48,26.03,43207.86,221.00
57888,21.48,26.03,47743.21,227.00
60888,21.48,26.01,49035.34,221.00
63888,21.48,25.99,35570.37,220.00
66888,21.49,25.97,16766.68,220.00
69888,21.49,25.96,12619.66,219.00
72888,21.49,25.95,18917.21,220.00
75888,21.49,25.95,12141.45,218.00
78888,21.49,25.95,11767.10,226.00
81888,21.49,25.96,9400.74,219.00
84888,21.49,25.95,10105.61,220.00
87888,21.50,25.93,12731.67,220.00
90888,21.50,25.93,14602.90,219.00
93888,21.49,25.93,12755.86,218.00
96888,21.49,25.95,9358.35,219.00
99888,21.49,25.95,13951.51,218.00
102888,21.49,25.95,14266.79,219.00
105888,21.49,25.93,12030.72,217.00
108888,21.50,25.93,11671.01,219.00
111888,21.50,25.92,10289.80,218.00
114888,21.49,25.90,9854.96,219.00
117888,21.49,25.91,10275.72,216.00
120888,21.49,25.91,10553.44,219.00
123888,21.49,25.91,11204.01,219.00
126888,21.49,25.90,9196.01,219.00
129888,21.49,25.90,11235.41,219.00
132888,21.49,25.91,10223.33,224.00
135888,21.49,25.88,12004.53,219.00
138888,21.49,25.87,20665.13,218.00
141888,21.50,25.87,26918.03,217.00
144888,21.50,25.87,32881.71,211.00
147888,21.50,25.86,29926.21,216.00
150888,21.50,25.84,29119.07,214.00
153888,21.50,25.77,28135.54,215.00
156888,21.49,25.76,32622.69,213.00
159888,21.49,25.77,32911.79,213.00
162888,21.49,25.77,31348.85,213.00
165888,21.49,25.77,36346.94,214.00
168888,21.49,25.76,14538.88,211.00
171888,21.49,25.74,12003.40,213.00
174888,21.49,25.72,16606.85,213.00
177888,21.49,25.72,13422.75,219.00
180888,21.49,25.71,13482.68,213.00
183888,21.49,25.70,11774.15,213.00
186888,21.49,25.70,18331.29,214.00
189888,21.48,25.67,12737.12,214.00
192888,21.48,25.65,20328.05,214.00
195888,21.48,25.64,11198.12,214.00
198888,21.48,25.62,10551.47,214.00
201888,21.48,25.61,10115.36,214.00
204888,21.48,25.61,9815.26,214.00
207888,21.47,25.60,11916.25,223.00
210888,21.48,25.59,11682.97,214.00
213888,21.47,25.59,10640.08,214.00
216888,21.47,25.59,13200.25,214.00
219888,21.47,25.58,11572.37,214.00
222888,21.47,25.56,11737.94,213.00
225888,21.47,25.56,10491.66,214.00
228888,21.47,25.54,10388.99,214.00
231888,21.46,25.54,10350.61,214.00
234888,21.47,25.54,11269.96,213.00
237888,21.47,25.53,10315.68,214.00
240888,21.46,25.54,10436.79,227.00
243888,21.46,25.54,10518.73,214.00
246888,21.46,25.54,11798.23,213.00
249888,21.46,25.54,10701.96,213.00
252888,21.46,25.54,11694.90,213.00
255888,21.46,25.54,10978.28,212.00
258888,21.46,25.52,10411.64,213.00
261888,21.46,25.52,11464.71,212.00
264888,21.46,25.52,15206.20,213.00
267888,21.46,25.53,11194.12,213.00
270888,21.46,25.52,12909.67,213.00
273888,21.45,25.52,16718.92,213.00
276888,21.45,25.51,12923.46,212.00
279888,21.46,25.51,14680.86,213.00
282888,21.45,25.50,11840.59,212.00
285888,21.45,25.50,9700.86,211.00
288888,21.44,25.50,10341.50,212.00
291888,21.44,25.50,11543.12,211.00
294888,21.44,25.51,10271.13,217.00
297888,21.45,25.51,13243.43,211.00
300888,21.44,25.52,12704.88,219.00
303888,21.44,25.54,14480.73,210.00
306888,21.44,25.55,15991.71,210.00
309888,21.43,25.57,15516.87,212.00
312888,21.42,25.57,12505.44,211.00
315888,21.43,25.58,10665.46,212.00
318888,21.42,25.60,11534.29,211.00
321888,21.42,25.63,13255.74,210.00
324888,21.42,25.66,13125.07,211.00
327888,21.42,25.67,13628.96,219.00
330888,21.42,25.68,15169.87,212.00
333888,21.42,25.71,12748.36,211.00
336888,21.41,25.74,16956.37,212.00
339888,21.41,25.83,11788.22,211.00
342888,21.41,25.82,11188.28,211.00
345888,21.42,25.79,35347.87,211.00
348888,21.41,25.79,10286.93,211.00
351888,21.42,25.78,10593.32,205.00
354888,21.42,25.87,11992.44,210.00
357888,21.41,26.01,10923.36,210.00
360888,21.42,25.98,11922.71,210.00
363888,21.42,25.94,10530.55,210.00
366888,21.42,25.92,9934.15,213.00
369888,21.42,25.90,8856.00,210.00
372888,21.41,25.89,9730.82,219.00
375888,21.42,25.88,11394.98,211.00
378888,21.42,25.87,9639.70,211.00
381888,21.42,25.86,10966.66,210.00
384888,21.43,25.83,11020.92,210.00
387888,21.42,25.82,11362.93,210.00
390888,21.43,25.81,10914.80,219.00
393888,21.43,25.79,13761.59,210.00
396888,21.43,25.79,11310.17,212.00
399888,21.42,25.79,11154.44,211.00
402888,21.42,25.79,10345.40,210.00
405888,21.43,25.78,10266.87,211.00
408888,21.43,25.78,10827.39,211.00
411888,21.43,25.78,8665.49,211.00
414888,21.43,25.77,12086.16,210.00
417888,21.43,25.77,8587.48,210.00
420888,21.43,25.77,13353.38,210.00
423888,21.43,25.77,10995.32,211.00
426888,21.43,25.77,9365.56,211.00
429888,21.43,25.76,9975.99,211.00
432888,21.42,25.76,9296.18,211.00
435888,21.42,25.74,9131.29,210.00
438888,21.42,25.74,10204.31,210.00
441888,21.42,25.73,9889.21,213.00
444888,21.42,25.72,9605.92,210.00
447888,21.43,25.72,9538.69,212.00
450888,21.42,25.72,11167.93,210.00
453888,21.42,25.71,8868.14,210.00
456888,21.42,25.71,10268.89,211.00
459888,21.42,25.71,9970.28,211.00
462888,21.42,25.71,10267.33,211.00
465888,21.42,25.71,9213.50,211.00
468888,21.42,25.71,8346.06,210.00
471888,21.42,25.71,8763.33,210.00
474888,21.42,25.71,9940.88,210.00
477888,21.42,25.71,9068.21,210.00
480888,21.42,25.71,10712.49,210.00
483888,21.42,25.71,8579.55,210.00
486888,21.42,25.71,9048.32,219.00
489888,21.42,25.71,14082.30,211.00
492888,21.42,25.71,10251.95,211.00
495888,21.42,25.70,10889.84,211.00
498888,21.42,25.69,12368.40,211.00
501888,21.42,25.69,10246.41,210.00
504888,21.42,25.71,8939.90,210.00
507888,21.42,25.71,9957.78,210.00
510888,21.43,25.72,12876.24,210.00
513888,21.42,25.71,10656.21,210.00
516888,21.42,25.67,10691.71,210.00
519888,21.42,25.65,9504.06,211.00
522888,21.42,25.63,9152.87,209.00
525888,21.42,25.63,10660.04,213.00
528888,21.42,25.62,10123.84,209.00
531888,21.42,25.62,10823.67,210.00
534888,21.42,25.62,10049.32,210.00
537888,21.42,25.62,11506.74,210.00
540888,21.42,25.61,10996.15,209.00
543888,21.42,25.61,10885.39,210.00
546888,21.42,25.61,13370.69,208.00
549888,21.42,25.60,9225.92,210.00
552888,21.42,25.61,10104.36,215.00
555888,21.42,25.63,10227.43,216.00
558888,21.41,25.63,11692.09,210.00
561888,21.42,25.62,10043.07,210.00
564888,21.42,25.60,12532.68,210.00
567888,21.42,25.60,11380.82,210.00
570888,21.41,25.60,9837.28,209.00
573888,21.42,25.61,11284.14,210.00
576888,21.41,25.61,10257.19,209.00
579888,21.41,25.61,9278.32,210.00
582888,21.41,25.62,9759.12,210.00
585888,21.41,25.61,10175.06,210.00
588888,21.41,25.61,9622.99,211.00
591888,21.41,25.60,17308.55,210.00
594888,21.41,25.60,12318.41,210.00
597888,21.41,25.58,17738.45,209.00
600888,21.41,25.58,13420.80,210.00
603888,21.41,25.57,14250.14,209.00
606888,21.41,25.57,11091.71,209.00
609888,21.40,25.58,10838.85,208.00
612888,21.39,25.61,10369.45,209.00
615888,21.39,25.62,10491.96,221.00
618888,21.40,25.62,11078.18,209.00
621888,21.40,25.63,17209.10,209.00
624888,21.40,25.63,12437.79,209.00
627888,21.40,25.64,10496.96,210.00
630888,21.40,25.64,10125.87,209.00
633888,21.39,25.64,10052.70,209.00
636888,21.39,25.64,10211.12,208.00
639888,21.39,25.66,7897.00,221.00
642888,21.40,25.64,10312.27,209.00
645888,21.40,25.66,11217.52,209.00
648888,21.40,25.64,11746.15,209.00
651888,21.40,25.64,12440.41,208.00
654888,21.40,25.63,14694.13,218.00
657888,21.40,25.63,11296.70,210.00
660888,21.40,25.62,13335.57,209.00
663888,21.39,25.61,10005.30,209.00
666888,21.39,25.59,8922.52,208.00
669888,21.40,25.59,10470.36,209.00
672888,21.39,25.59,11447.55,212.00
675888,21.40,25.58,15733.94,208.00
678888,21.40,25.58,11373.64,210.00
681888,21.39,25.58,9964.72,209.00
684888,21.40,25.57,16356.68,221.00
687888,21.40,25.58,10031.02,209.00
690888,21.40,25.57,10279.36,209.00
693888,21.40,25.58,18761.42,212.00
696888,21.40,25.66,11074.40,210.00
699888,21.39,25.69,12549.04,210.00
702888,21.39,25.72,10073.18,210.00
705888,21.39,25.74,9967.48,209.00
708888,21.39,25.77,9639.80,210.00
711888,21.39,25.78,11884.23,210.00
714888,21.39,25.77,13541.60,209.00
717888,21.39,25.75,10424.26,209.00
720888,21.39,25.74,11576.37,211.00
723888,21.39,25.73,11639.85,216.00
726888,21.38,25.72,10941.06,209.00
729888,21.39,25.72,12069.98,209.00
732888,21.38,25.71,10750.04,209.00
735888,21.38,25.71,9222.96,211.00
738888,21.38,25.69,10913.24,212.00
741888,21.39,25.69,11489.71,209.00
744888,21.38,25.69,10454.84,209.00
747888,21.38,25.69,10417.54,210.00
750888,21.38,25.68,10844.41,213.00
753888,21.39,25.68,9776.15,209.00
756888,21.38,25.69,10711.57,210.00
759888,21.38,25.69,14197.79,209.00
762888,21.38,25.71,10913.08,201.00
765888,21.38,25.72,10088.73,210.00
768888,21.39,25.72,9723.20,208.00
771888,21.39,25.73,11519.01,209.00
774888,21.38,25.73,12341.14,209.00
777888,21.38,25.73,12867.77,209.00
780888,21.38,25.73,9013.08,209.00
783888,21.38,25.74,11487.07,209.00
786888,21.38,25.74,10305.35,212.00
789888,21.38,25.74,10156.95,209.00
792888,21.38,25.73,10638.99,210.00
795888,21.38,25.73,11205.21,211.00
798888,21.38,25.72,10067.73,210.00
801888,21.39,25.71,12061.62,210.00
804888,21.39,25.71,10358.55,209.00
807888,21.39,25.69,10437.40,218.00
810888,21.39,25.69,11039.90,208.00
