Timestamp,Temperature (C),Humidity (%),Sound,Light
4551,22.09,19.53,0.00,625.00
7551,22.35,19.59,31379.09,631.00
10551,22.35,19.67,22004.61,626.00
13551,22.34,19.62,39598.80,632.00
16551,22.34,19.54,29176.10,629.00
19551,22.32,19.52,30458.53,541.00
22551,22.32,19.49,49921.73,605.00
25551,22.31,19.58,34188.18,584.00
28551,22.31,19.65,46056.19,602.00
31551,22.31,19.69,35620.84,629.00
34551,22.30,19.75,26856.18,633.00
37551,22.30,19.74,44110.58,630.00
40551,22.29,19.73,40586.17,610.00
43551,22.29,19.69,39935.78,617.00
46551,22.28,19.60,49999.46,575.00
49551,22.27,19.70,31151.29,604.00
52551,22.26,20.10,42521.43,615.00
55551,22.25,20.00,40000.91,622.00
58551,22.24,19.88,48081.05,631.00
61551,22.22,19.75,47354.44,627.00
64551,22.21,19.66,47054.15,631.00
67551,22.19,19.66,45606.36,632.00
70551,22.18,19.65,38877.18,633.00
73551,22.15,19.58,34630.75,629.00
76551,22.14,19.54,28767.60,635.00
79551,22.12,19.52,25486.58,630.00
82551,22.11,19.55,28516.05,633.00
85551,22.09,19.55,20349.01,632.00
88551,22.08,19.53,20965.76,633.00
91551,22.06,19.53,36000.36,632.00
94551,22.05,19.52,19131.61,626.00
97551,22.04,19.53,14467.73,629.00
100551,22.02,19.53,31270.50,632.00
103551,22.00,19.52,36740.54,634.00
106551,21.99,19.53,33798.30,636.00
109551,21.97,19.58,43696.93,633.00
112551,21.96,19.60,30753.21,630.00
115551,21.95,19.62,27622.84,629.00
118551,21.93,19.66,16389.76,632.00
121551,21.92,19.68,29109.95,631.00
124551,21.91,19.73,25286.82,616.00
127551,21.89,19.76,43430.32,629.00
130551,21.88,19.79,39482.25,629.00
133551,21.87,19.82,35439.47,628.00
136551,21.86,19.82,48249.10,630.00
139551,21.85,19.79,49827.58,629.00
142551,21.84,19.78,49663.52,633.00
145551,21.83,19.77,42126.57,632.00
148551,21.82,19.74,27312.40,633.00
151551,21.81,19.72,38816.39,665.00
154551,21.80,19.69,25664.23,637.00
157551,21.79,19.68,26860.32,636.00
160551,21.78,19.70,26543.19,631.00
163551,21.77,19.71,32060.22,634.00
166551,21.76,19.78,27437.04,635.00
169551,21.75,19.87,26546.02,636.00
172551,21.74,19.96,17470.69,635.00
175551,21.74,20.06,34305.89,634.00
178551,21.74,20.10,34966.92,634.00
181551,21.72,20.13,19601.06,633.00
184551,21.71,20.12,39511.66,634.00
187551,21.71,20.09,20884.17,631.00
190551,21.69,20.08,20294.51,635.00
193551,21.68,20.05,16298.61,638.00
196551,21.67,20.02,16494.99,635.00
199551,21.66,19.98,20389.18,637.00
202551,21.65,19.97,20882.04,633.00
205551,21.65,19.97,32451.44,632.00
208551,21.63,19.94,20397.61,632.00
211551,21.62,19.95,28488.17,631.00
214551,21.61,19.95,24312.15,631.00
217551,21.60,19.95,34718.98,632.00
220551,21.59,19.95,25954.62,632.00
223551,21.58,19.94,27701.39,633.00
226551,21.57,19.93,31907.93,634.00
229551,21.56,19.91,12741.76,636.00
232551,21.55,19.94,21264.61,638.00
235551,21.55,19.95,24204.04,637.00
238551,21.54,19.97,18750.11,630.00
241551,21.54,20.00,38666.68,633.00
244551,21.52,20.01,25916.71,634.00
247551,21.52,20.02,20593.09,632.00
250551,21.51,20.03,25265.25,633.00
253551,21.50,20.02,30225.17,636.00
256551,21.49,20.01,24794.10,636.00
259551,21.49,20.01,25595.60,633.00
262551,21.48,20.02,39613.74,631.00
265551,21.47,20.00,33837.50,633.00
268551,21.47,19.99,35894.76,636.00
271551,21.46,20.02,49715.35,632.00
274551,21.45,20.03,49360.35,631.00
277551,21.44,20.05,36140.85,634.00
280551,21.44,20.07,37051.02,634.00
283551,21.43,20.09,28247.07,632.00
