Timestamp,Temperature (C),Humidity (%)
5000,22.15,15.84
10000,22.15,15.58
15000,22.15,16.31
20000,22.15,16.22
25000,22.16,16.02
30000,22.15,15.77
35000,22.16,15.74
40000,22.15,15.71
45000,22.15,15.68
50000,22.16,15.57
55000,22.17,17.80
60000,22.19,18.24
65000,22.18,16.50
70000,22.18,15.86
75000,22.16,15.60
80000,22.15,15.52
85000,22.13,15.44
90000,22.13,15.47
95000,22.13,15.48
100000,22.14,15.50
105000,22.15,15.50
110000,22.15,15.76
115000,22.15,15.79
120000,22.15,15.62
125000,22.15,15.48
130000,22.14,15.42
135000,22.15,15.37
140000,22.14,15.31
145000,22.15,15.25
150000,22.13,15.21
155000,22.12,15.23
160000,22.14,15.42
165000,22.15,15.41
170000,22.15,15.73
175000,22.17,18.89
180000,22.15,17.07
185000,22.17,16.49
190000,22.17,16.89
195000,22.18,19.24
200000,22.18,17.85
205000,22.18,16.40
210000,22.18,16.85
215000,22.20,16.22
220000,22.22,16.01
225000,22.23,16.48
230000,22.25,15.84
235000,22.26,15.71
240000,22.26,15.64
245000,22.27,15.67
250000,22.27,15.90
255000,22.30,16.76
260000,22.31,16.52
265000,22.32,15.98
270000,22.33,15.61
275000,22.33,15.47
280000,22.34,15.43
285000,22.35,15.73
290000,22.36,15.50
295000,22.39,15.44
300000,22.38,15.38
305000,22.39,15.35
310000,22.40,15.40
315000,22.40,15.38
320000,22.41,15.49
325000,22.41,15.56
330000,22.42,15.55
335000,22.43,15.44
340000,22.43,15.53
345000,22.44,15.58
350000,22.44,15.38
355000,22.42,15.24
360000,22.42,15.29
365000,22.42,16.34
370000,22.44,16.72
375000,22.44,15.96
380000,22.44,15.67
385000,22.44,15.54
390000,22.44,15.76
395000,22.44,16.85
400000,22.45,18.05
405000,22.45,17.92
410000,22.44,16.36
415000,22.44,15.83
420000,22.44,15.67
425000,22.45,17.97
430000,22.46,17.67
435000,22.45,16.33
440000,22.44,15.79
445000,22.44,16.29
450000,22.44,16.35
455000,22.43,15.98
460000,22.43,15.75
465000,22.42,16.29
470000,22.43,16.14
475000,22.42,16.07
480000,22.42,18.42
485000,22.41,18.76
490000,22.40,16.41
495000,22.41,16.19
500000,22.41,18.12
505000,22.42,17.94
510000,22.42,18.37
515000,22.43,18.40
520000,22.41,19.22
525000,22.40,18.31
530000,22.40,17.23
535000,22.39,18.33
540000,22.39,17.03
545000,22.39,16.20
550000,22.39,15.81
555000,22.39,17.07
560000,22.39,18.20
565000,22.38,16.79
570000,22.39,16.22
575000,22.37,16.00
580000,22.37,15.68
585000,22.38,17.87
590000,22.38,16.69
595000,22.37,16.43
600000,22.37,16.78
605000,22.39,17.11
610000,22.39,16.92
615000,22.40,16.40
620000,22.40,16.37
