Timestamp,Temperature (C),Humidity (%)
5000,22.03,16.06
10000,21.95,16.09
15000,21.87,16.08
20000,21.78,16.21
25000,21.69,16.27
30000,21.59,16.44
35000,21.52,16.51
40000,21.44,16.54
45000,21.30,16.65
50000,21.18,16.77
55000,21.10,25.25
60000,21.08,34.97
65000,21.01,20.80
70000,20.92,18.70
75000,20.87,18.03
80000,20.80,17.78
85000,20.71,17.67
90000,20.68,17.47
95000,20.61,17.47
100000,20.53,17.49
105000,20.48,17.42
110000,20.43,17.40
115000,20.37,17.38
120000,20.33,17.36
125000,20.28,17.31
130000,20.23,17.34
135000,20.20,17.38
140000,20.15,17.40
145000,20.11,17.43
150000,20.09,17.47
155000,20.06,17.41
160000,20.05,17.35
165000,20.02,17.41
170000,20.00,17.37
175000,19.97,17.39
180000,19.97,17.34
185000,19.95,17.45
